Lektion,Deutsch,Turkisch,Arabisch (العربية),Farsi (فارسی),Kurdisch (Kurmancî),Ukrainisch (Українська),Englisch,Beispiel Satz
7,akzeptieren,Kabul etmek,يقبل,پذیرفتن,Pejirandin,акцептувати / приймати,to accept,"In einer pluralistischen Gesellschaft ist es wichtig, die Lebensmodelle anderer Menschen zu akzeptieren."
7,multikulturell,Çok kültürlü,متعدد الثقافات,چندفرهنگی,Pirçandî,мультикультурний,multicultural,"Das Viertel ist sehr multikulturell geprägt, da dort Menschen aus vielen verschiedenen Nationen zusammenleben."
7,die/der Alleinerziehende,Tek başına çocuk büyüten,والد يعيل طفله بمفرده,والد تنها,Dê an bavê tenê,"той, хто виховує дитину сам",single parent,"Alleinerziehende stehen oft vor der großen Herausforderung, Beruf und Kindererziehung ohne Hilfe zu bewältigen."
7,die/der Alleinstehende,Bekar / Yalnız yaşayan,عازب / وحيد,مجرد,Kesê tenê,одинока людина,single person,"Für Alleinstehende kann die Urlaubszeit manchmal einsam sein, weshalb viele spezielle Singlereisen buchen."
7,"das Drittel, -",Üçte bir,ثلث,یک‌سوم,Sêyeka,третина,third,"Etwa ein Drittel der Befragten gab an, dass sie mit ihrer aktuellen Wohnsituation unzufrieden sind."
7,"die Grafik, -en",Grafik,رسم بياني,نمودار,Grafîk,графіка / діаграма,graphic,Die beigefügte Grafik veranschaulicht deutlich den Anstieg der Scheidungsraten in den letzten Jahrzehnten.
7,"die Hälfte, -n",Yarım,نصف,نیم / نصف,Nîvî,половина,half,Fast die Hälfte aller Ehen in Großstädten wird heutzutage nach nur wenigen Jahren wieder geschieden.
7,"die Lebensform, -en",Yaşam biçimi,شكل الحياة,فرم زندگی,Şêweyê jiyanê,спосіб життя,lifestyle / form of life,"Es gibt heute eine Vielzahl an unterschiedlichen Lebensformen, vom Single-Dasein bis hin zur Großfamilie."
7,"das Schaubild, -er",Şema / Grafik,مخطط توضيحي,نمودار تصویری,Şema / Wêne,діаграма / схема,diagram,In dem Schaubild werden die verschiedenen Gründe für Trennungen statistisch miteinander verglichen.
7,"der Single, -s",Bekar,أعزب,مجرد,Single / Ezeb,одинак (сингл),single,"Er genießt sein Leben als Single in vollen Zügen und denkt momentan nicht daran, eine feste Bindung einzugehen."
7,"die Statistik, -en",İstatistik,إحصائية,آمار,Îstatîstîk,статистика,statistic,Laut der neuesten Statistik heiraten die Menschen in Deutschland heute deutlich später als früher.
7,"das Viertel, -",Çeyrek / Mahalle,ربع / حي,یک‌چهارم / محله,Çaryek,чверть / квартал,quarter / district,"In diesem Viertel leben vor allem Studenten und junge Künstler, was für eine sehr lebendige Atmosphäre sorgt."
7,abnehmen,Azalmak / Kilo vermek,ينقص / ينحف,کاهش یافتن / لاغر شدن,Kêm bûn,зменшуватися / худнути,to decrease,"Die Zahl der Eheschließungen hat in den letzten Jahren kontinuierlich abgenommen, während Trennungen zunahmen."
7,sich erhöhen,Artmak / Yükselmek,يرتفع / يزداد,افزایش یافتن,Bilind bûn,підвищуватися,to increase,Die Lebenserwartung der Menschen hat sich dank des medizinischen Fortschritts in den letzten Jahren deutlich erhöht.
7,sinken,Batmak / Düşmek,ينخفض / يغرق,سقوط کردن / کاهش یافتن,Daketin,падати / тонути,to sink / fall,"Die Geburtenraten sinken in vielen europäischen Ländern, was langfristig zu demografischen Problemen führt."
7,stagnieren,Duraklamak,يركد,راکد ماندن,Sekinîn,застоятися / не розвиватися,to stagnate,"Die Reallöhne stagnieren seit Jahren, während die Mieten in den Ballungszentren immer weiter steigen."
7,steigen,Yükselmek,يصعد / يرتفع,بالا رفتن,Zêde bûn,підніматися / зростати,to rise,Mit dem steigenden Wohlstand steigen oft auch die Ansprüche der Menschen an ihre Lebensqualität.
7,sich verringern,Azalmak,يقل / يتضاءل,کم شدن,Kêm bûn,зменшуватися,to diminish / reduce,Durch die neue Gesetzgebung soll sich der bürokratische Aufwand für junge Familien deutlich verringern.
7,zunehmen,Artmak / Kilo almak,يزداد / يسمن,زیاد شدن / چاق شدن,Zêde bûn,збільшуватися / набирати вагу,to increase,Die Bedeutung sozialer Netzwerke für die Partnersuche hat in den letzten Jahren massiv zugenommen.
7,die 68er,68 kuşağı,جيل الستينات,نسل ۶۸,Nifşê 68an,шістдесятники,the '68 generation,Die 68er haben die gesellschaftlichen Strukturen in Deutschland nachhaltig verändert und liberalisiert.
7,"die Ahnung, -en",Sezgi / Fikir,فكرة / شعور,حدس / خبر,Agahî / Guman,уявлення / здогадка,inkling / idea,"Ich hatte keine blasse Ahnung, dass meine besten Freunde heimlich eine Überraschungsparty für mich planten."
7,die Einfachheit,Sadelik / Basitlik,بساطة,سادگی,Hesanî,простота,simplicity,"Der Einfachheit halber schlage ich vor, dass wir uns direkt am Bahnhof treffen, anstatt erst zu mir zu fahren."
7,"die Härte, -n",Sertlik / Zorluk,قسوة / صلابة,سختی,Hişkayî,твердість / жорсткість,hardness / severity,"In manchen Situationen des Lebens ist eine gewisse Härte erforderlich, um sich gegen Widerstände durchzusetzen."
7,die Neugier,Merak,فضول,کنجکاوی,Mereq,цікавість,curiosity,"Seine kindliche Neugier trieb ihn dazu, immer wieder neue Fragen zu stellen und die Welt zu erkunden."
7,"die Reaktion, -en",Tepki / Reaksiyon,رد فعل,واکنش,Bertek,реакція,reaction,"Die Reaktion des Publikums auf den umstrittenen Film war geteilt; einige klatschten, während andere buhten."
7,"die Rechtfertigung, -en",Gerekçe / Savunma,تبرير,توجیه,Mafdarî,виправдання,justification,Für sein unhöfliches Verhalten gegenüber den Gästen gab es meiner Meinung nach keine plausible Rechtfertigung.
7,die Sicht (Sg.),Görüş / Bakış,رؤية / وجهة نظر,دید / نظر,Dîtin,погляд / видимість,view / perspective,"Aus meiner Sicht wäre es besser, das Problem sofort anzusprechen, anstatt es noch länger hinauszuzögern."
7,aus meiner Sicht,Benim açımdan,من وجهة نظري,از نظر من,Li gorî min,з моєї точки зору,from my point of view / in my view,Aus meiner Sicht sollten wir das Projekt erst im nächsten Monat starten.
7,"der Stapel, -",Yığın / Küme,كومة / حزمة,توده / پشته,Kom,стопка / купа,stack / pile,"Auf seinem Schreibtisch türmte sich ein riesiger Stapel von Akten, die er noch heute bearbeiten musste."
7,etwas äußern,Bir şeyi ifade etmek,يعبر عن شيء,چیزی را بیان کردن,Anîn ziman,висловлювати щось,to express,"Er weigerte sich standhaft, seine Meinung zu dem heiklen Thema vor der gesamten Belegschaft zu äußern."
7,eilen,Acele etmek,يسرع,شتافتن,Lezandin,поспішати,to hurry,"Wir müssen uns eilen, wenn wir den Zug noch erreichen wollen, da er in fünf Minuten abfährt."
7,fixieren,Sabitlemek,يثبت,ثابت کردن,Cih kirin,фіксувати,to fix / stare at,"Er fixierte seinen Blick auf den Ausgang, da er die unangenehme Situation so schnell wie möglich verlassen wollte."
7,überhören,Duymamazlıktan gelmek,يتجاهل سماع,نشنیده گرفتن,Guh nedan,пропустити повз вуха,to ignore / fail to hear,"Er tat so, als hätte er die beleidigende Bemerkung seines Kollegen einfach überhört, um keinen Streit zu provozieren."
7,beiläufig,Sırası gelmişken / Üstünkörü,عرضي / بالمناسبة,گذرا / در ضمن,Di nav re,припутно / мимохідь,casual / incidental,"Während des Essens erwähnte er nur beiläufig, dass er seinen Job gekündigt hat und ins Ausland ziehen will."
7,fulminant,Şiddetli / Parlak,باهر / صاعق,درخشان / پرقدرت,Bibandor,блискучий / стрімкий,brilliant / explosive,Mit einem fulminanten Auftritt sicherte sich die junge Sängerin den ersten Platz im nationalen Wettbewerb.
7,radikal,Köklü / Radikal,جذري,رادیکال,Radîkal,радикальний,radical,"Die neue Regierung plant eine radikale Reform des Sozialsystems, um die Kosten langfristig zu senken."
7,schwungvoll,Enerjik / Coşkulu,مفعم بالحيوية,پرانرژی,Bi coş,енергійний / жвавий,energetic,Mit einer schwungvollen Rede eröffnete die Direktorin die feierliche Abschlussveranstaltung der Schule.
7,unbekümmert,Kaygısız / Tasasız,غير مبالٍ,بی‌خیال,Bêxem,безтурботний,carefree,"Die Kinder spielten unbekümmert im Garten, während die Erwachsenen über ernste Probleme diskutierten."
7,vollständig,Tam / Eksiksiz,كامل / تام,کامل,Temam,повний / цілковитий,complete,"Bitte füllen Sie das Formular vollständig aus, da wir sonst Ihren Antrag nicht bearbeiten können."
7,"der Befürworter, -",Savunucu / Destekçi,مؤيد,طرفدار,Piştgir,прихильник,proponent,Die Befürworter der neuen Technologie heben vor allem die Zeitersparnis und die Effizienz hervor.
7,"der Bezug, -¨e",İlgi / Bağlantı,علاقة / صلة,رابطه / پیوند,Têkilî,зв'язок / посилання,reference,Ich nehme Bezug auf unser gestriges Telefonat und sende Ihnen hiermit die gewünschten Unterlagen zu.
7,Bezug nehmen auf,...ye atıfta bulunmak,يشير إلى / يستند إلى,اشاره کردن به,Sipartin ser,посилатися на,to refer to,Der Redner nahm in seinem Vortrag mehrfach Bezug auf aktuelle Studien aus den USA zum Thema Bildung.
7,"das Fazit, -s",Sonuç / Özet,خلاصة / نتيجة,نتیجه‌گیری,Encam,підсумок,conclusion,"Das Fazit der Untersuchung lautet, dass eine gesunde Ernährung das Risiko für viele Krankheiten senkt."
7,"der Kreis, -e",Çevre / Daire,دائرة / حلقة,دایره / حلقه,Dor / Bazne,коло / коло (людей),circle,"In vielen Kreisen gilt es heutzutage als unhöflich, während eines Gesprächs ständig auf das Handy zu schauen."
7,in vielen Kreisen,Birçok çevrede,في أوساط كثيرة,در بسیاری از گروه‌ها,Di gelek doran de,у багатьох колах,in many circles,Diese Theorie ist in vielen Kreisen der Gesellschaft sehr umstritten.
7,"die Scheidungsrate, -n",Boşanma oranı,معدل الطلاق,نرخ طلاق,Rêjeya berdanê,рівень розлучень,divorce rate,In Ländern mit liberaleren Gesetzen ist die Scheidungsrate oft höher als in konservativ geprägten Staaten.
7,"die Stellungnahme, -n",Görüş bildirme,إبداء رأي,اظهارنظر,Anîna ziman,заява / висловлення позиції,statement / comment,Die Firma gab bisher keine offizielle Stellungnahme zu den Vorwürfen der Umweltverschmutzung ab.
7,"die Verknüpfung, -en",Bağlantı / İlişkilendirme,ربط / اتصال,پیوند / اتصال,Girêdan,зв'язок / поєднання,link / connection,Die enge Verknüpfung zwischen Wirtschaft und Politik wird oft von vielen Bürgern kritisch hinterfragt.
7,befristen,Süreyle sınırlamak,يحدد بمدة,مدت‌دار کردن,Bi demê sînor kirin,обмежувати терміном,to limit (time),"Der Arbeitsvertrag ist vorerst auf zwei Jahre befristet, kann aber bei guter Leistung verlängert werden."
7,scheitern,Başarısızlığa uğramak,يفشل,شکست خوردن,Têk çûn,зазнати невдачі,to fail,"Viele Start-ups scheitern bereits im ersten Jahr, weil der finanzielle Plan nicht solide genug war."
7,"das Klischee, -s",Basma kalıp / Klişe,صورة نمطية,کلیشه,Klîşe,кліше,cliché,Der Film bedient leider jedes bekannte Klischee über das Leben in der Provinz und wirkt dadurch unnatürlich.
7,"die Devise, -n",İlke / Slogan / Döviz,شعار / مبدأ,شعار / مانیفست,Dirûşm,девіз / гасло,motto / slogan,"Seine persönliche Devise lautet: ""Man lernt nie aus"", weshalb er sich ständig in Kursen weiterbildet."
7,"die Distanz, -en",Mesafe,مسافة,فاصله,Dûrî,дистанція,distance,In einer Fernbeziehung spielt die emotionale Nähe eine viel größere Rolle als die räumliche Distanz.
7,"die Fernbeziehung, -en",Uzak mesafe ilişkisi,علاقة عن بعد,رابطه از راه دور,Têkiliya dûr,стосунки на відстані,long-distance relationship,"Eine Fernbeziehung kann nur funktionieren, wenn beide Partner absolut ehrlich sind und Vertrauen zueinander haben."
7,die Flexibilität,Esneklik,مرونة,انعطاف‌پذیری,Nermî,гнучкість,flexibility,In der modernen Arbeitswelt wird von den Mitarbeitern ein hohes Maß an Flexibilität und Anpassungsfähigkeit verlangt.
7,"die Geste, -n",Jest / Mimik,إيماءة,اشاره / حرکت,Jest,жест,gesture,"Dass er mir bei der schweren Arbeit ungefragt half, war eine sehr freundliche Geste, die ich sehr schätzte."
7,"die Harmonie, -n",Uyum,تناغم / وئام,هماهنگی,Hevahengî,гармонія,harmony,Für viele Menschen ist soziale Harmonie in der Familie wichtiger als beruflicher Erfolg oder Reichtum.
7,"die Perspektive, -n",Bakış açısı,منظور / وجهة نظر,دیدگاه,Perspektîf,перспектива,perspective,Durch das Auslandssemester hat sie eine völlig neue Perspektive auf ihre eigene Kultur gewonnen.
7,"die Sehnsucht, -¨e",Özlem / Hasret,شوق / حنين,اشتیاق / دلتنگی,Hesret,туга / палке бажання,longing,"Er hat eine große Sehnsucht danach, nach vielen Jahren in der Großstadt endlich wieder auf dem Land zu leben."
7,"der Zauber, -",Büyü / Tılsım,سحر,جادو,Sêwir,чари / магія,magic / spell,Der besondere Zauber dieser alten Stadt liegt in ihren verwinkelten Gassen und den historischen Gebäuden.
7,sich austauschen,Görüş alışverişinde bulunmak,يتبادل الأفكار,تبادل نظر کردن,Raman guhertin,обмінюватися думками,to exchange (ideas),"Es ist wichtig, dass sich Lehrer und Eltern regelmäßig über die Fortschritte der Schüler austauschen."
7,sich entfremden,Yabancılaşmak,يتغرب / يتباعد,بیگانه شدن,Xerîb bûn,віддалятися / ставати чужими,to become estranged,Nach dem heftigen Streit haben sich die beiden Brüder über Jahre hinweg immer mehr entfremdet.
7,etwas erfordern,Gerektirmek,يتطلب,ایجاب کردن,Pêwîst bûn,потребувати,to require,Die Lösung dieses komplexen mathematischen Problems erfordert höchste Konzentration und viel Zeit.
7,umgehen mit,Bir şeyle/biriyle başa çıkmak,يتعامل مع,رفتار کردن با,Serederî kirin,поводитися з / справлятися,to deal with,"Man muss lernen, konstruktiv mit Kritik umzugehen, um sich persönlich und beruflich weiterzuentwickeln."
7,auf etwas aus sein,Bir şeyin peşinde olmak,يسعى وراء شيء,در پی چیزی بودن,Li dû tiştekî bûn,прагнути чогось,to be out for sth.,Er ist nur auf seinen persönlichen Vorteil aus und kümmert sich nicht um die Bedürfnisse des Teams.
7,ausgeglichen sein,Dengeli olmak,يكون متزناً,متعادل بودن,Hevseng bûn,бути врівноваженим,to be balanced,"Yoga hilft ihr dabei, im stressigen Alltag ausgeglichen zu sein und ihre innere Ruhe zu bewahren."
7,etwas auf sich zukommen lassen,Olayları akışına bırakmak,يترك الأمور تجري,گذاشتن تا پیش بیاید,Berdan herikînê,дати чомусь статися,to take things as they come,"Anstatt sich Sorgen um die Zukunft zu machen, möchte er die Dinge erst einmal entspannt auf sich zukommen lassen."
7,bedauernswert,Acınası / Üzücü,مؤسف / يدعو للأسف,تاسف‌بار,Dilşewat,жалюгідний,regrettable / pitiable,"Es ist wirklich bedauernswert, dass das traditionsreiche Café wegen der hohen Mieten schließen musste."
7,die Exotik,Egzotiklik,غرابية,جذابیت غیربومی,Egzotîk,екзотика,exoticism,"Viele Touristen reisen in ferne Länder, weil sie von der Exotik fremder Kulturen und Landschaften fasziniert sind."
7,die Geborgenheit,Güven duygusu / Huzur,طمأنينة / أمان,احساس امنیت,Ewlehî,відчуття захищеності,security / comfort,Ein stabiles familiäres Umfeld vermittelt Kindern das Gefühl von Sicherheit und tiefer Geborgenheit.
7,"die Hinsicht, -en",Bakım / Açıda,ناحية / اعتبار,لحاظ / جهت,Alî,відношення / погляд,respect / regard,"In dieser Hinsicht muss ich dir leider widersprechen, da meine Erfahrungen völlig anders sind."
7,das Vertrauen (Sg.),Güven,ثقة,اعتماد,Bawerî,довіра,trust,Ohne gegenseitiges Vertrauen kann keine tiefe und dauerhafte Freundschaft zwischen zwei Menschen entstehen.
7,"der Vordergrund, -¨e",Ön plan,مقدمة / واجهة,پیش‌زمینه,Pêşperde,передній план,foreground,Bei der Planung der neuen Stadtviertel sollte die Lebensqualität der Bewohner im Vordergrund stehen.
7,etwas aussagen,İfade etmek / Tanıklık etmek,يفيد بـ / يشهد,شهادت دادن,Gotin,свідчити / висловлювати,to testify / state,"Die Zeugin konnte vor Gericht genau aussagen, was sie am Abend des Unfalls beobachtet hatte."
7,sich einigen auf (+Akk),Bir konuda uzlaşmak,يتفق على,توافق کردن بر,Li ser li hev hatin,домовитися про щось,to agree on,Nach einer langen Diskussion konnten sich die Partner schließlich auf einen gemeinsamen Namen für das Kind einigen.
7,bikulturell,İki kültürlü,ثنائي الثقافة,دو‌فرهنگی,Dûçandî,бікультурний,bicultural,"Kinder, die bikulturell aufwachsen, haben oft den Vorteil, dass sie sich in zwei verschiedenen Welten zu Hause fühlen."
7,der Applaus (Sg.),Alkış,تصفيق,تشویق,Çepik,аплодисменти,applause,Nach der beeindruckenden Theateraufführung gab es minutenlangen Applaus für die talentierten Schauspieler.
7,"das Detail, -s",Detay / Ayrıntı,تفصيل,جزئیات,Hûrgulî,деталь,detail,"Der Architekt hat bei dem Entwurf des Hauses auf jedes kleinste Detail geachtet, um Perfektion zu erreichen."
7,"der Dichter, -",Şair / Yazar,شاعر,شاعر,Helbestvan,поет,poet,Er gilt als einer der bedeutendsten Dichter seiner Zeit und seine Werke werden noch heute weltweit gelesen.
7,etwas vortragen,Sunmak / Okumak (şiir vb.),يلقي / يقدم,ارائه دادن,Pêşkêş kirin,доповідати / виконувати,to present / recite,Sie hat ihr Referat über die Folgen der Digitalisierung sehr sicher und rhetorisch brillant vorgetragen.
8,der Durchschnitt,Ortalama,المتوسط,میانگین,Navînî,середнє значення,average,"Im Durchschnitt verbraucht jeder Deutsche pro Jahr etwa 60 Kilogramm Fleisch, was kritisch hinterfragt wird."
8,konsumieren,Tüketmek,يستهلك,مصرف کردن,Mezaxtin,споживати,to consume,"Heutzutage konsumieren wir viel mehr Ressourcen, als unser Planet langfristig regenerieren kann."
8,"der Beweggrund, -¨e","Güdü, saik, neden",دافع / سبب,انگیزه,Sedem,мотив / спонукання,motive / reason,Die ethischen Beweggründe für eine vegane Ernährung sind oft vielfältig und individuell verschieden.
8,"die Debatte, -n",Tartışma,مناظرة / نقاش,مناظره / بحث,Nîqaş,дебати,debate,Die öffentliche Debatte über die Einführung einer Zuckersteuer wird derzeit sehr hitzig geführt.
8,"das Entwicklungsland, -¨er",Gelişmekte olan ülke,بلد نامٍ,کشور در حال توسعه,Welatê pêşveçûyî,"країна, що розвивається",developing country,Viele Entwicklungsländer leiden massiv unter den Folgen des globalen Klimawandels und der Nahrungsmittelknappheit.
8,das Gewissen (Sg.),Vicdan,ضمير,وجدان,Wijdan,совість,conscience,"Viele Verbraucher kaufen Bio-Produkte, um beim Essen ein besseres Gewissen gegenüber der Umwelt zu haben."
8,"die Mangelerscheinung, -en",Eksiklik belirtisi,أعراض نقص,علائم کمبود,Nîşana kêmasiyê,симптом дефіциту,deficiency symptom,Ohne eine ausgewogene Ernährung können nach einiger Zeit ernsthafte Mangelerscheinungen auftreten.
8,"die Massentierhaltung, -en",Endüstriyel hayvancılık,تربية الحيوانات المكثفة,پرورش دام صنعتی,Heywandariya komî,інтенсивне тваринництво,factory farming,"Die Kritik an der Massentierhaltung wächst stetig, da immer mehr Menschen Tierwohl priorisieren."
8,"der Mineralstoff, -e",Mineral madde,مادة معدنية,ماده معدنی,Madenî,мінеральна речовина,mineral,"Obst und Gemüse enthalten lebenswichtige Vitamine und Mineralstoffe, die der Körper täglich benötigt."
8,"der Nährstoffmangel, -¨",Besin eksikliği,نقص العناصر الغذائية,کمبود مواد مغذی,Kêmasiya xurdemeniyê,дефіцит поживних речовин,nutrient deficiency,Ein chronischer Nährstoffmangel kann die körperliche und geistige Leistungsfähigkeit erheblich beeinträchtigen.
8,der Organismus,Organizma,كائن حي / عضوية,ارگانیسم,Organîzma,організм,organism,Giftige Substanzen in der Nahrung können den menschlichen Organismus langfristig schädigen.
8,"die Pfanne, -n",Tava,مقلاة,تابه,Tavê,сковорідка,pan,"Er briet das Gemüse kurz in der Pfanne an, um die Vitamine und den knackigen Geschmack zu erhalten."
8,"die Tendenz, -en",Eğilim,ميل / نزعة,تمایل,Meyl,тенденція,tendency,Die Tendenz zum Kauf von regionalen Lebensmitteln ist in den letzten Jahren deutlich gestiegen.
8,"die Übersicht, -en",Genel bakış / Özet,نظرة عامة,مرور کلی / فهرست,Kurte,огляд,overview,Das Etikett bietet dem Verbraucher eine schnelle Übersicht über die enthaltenen Kalorien und Fette.
8,"der Veganer, -",Vegan,شخص نباتي صرف,وگان,Vegan,веган,vegan,"Als konsequenter Veganer verzichtet er nicht nur auf Fleisch, sondern auf alle tierischen Produkte."
8,"der Vegetarier, -",Vejetaryen,شخص نباتي,گیاه‌خوار,Vejeteryan,вегетаріанець,vegetarian,Viele Vegetarier entscheiden sich aus Respekt vor dem Leben der Tiere gegen den Fleischkonsum.
8,der Verzicht (Sg.),Vazgeçme / Feragat,تنازل / تخلي,صرف‌نظر,Destjêberdan,відмова,renunciation,Der bewusste Verzicht auf Plastikverpackungen ist ein wichtiger Schritt zu einem nachhaltigeren Lebensstil.
8,"das Vitamin, -e",Vitamin,فيتامين,ویتامین,Vîtamîn,вітамін,vitamin,Während der Wintermonate sollte man besonders auf eine ausreichende Zufuhr von Vitamin C achten.
8,das Wirtschaftswunder,Ekonomik mucize,معجزة اقتصادية,معجزه اقتصادی,Mucizeya aborî,економічне диво,economic miracle,Das deutsche Wirtschaftswunder in den 1950er-Jahren führte zu einem rasanten Anstieg des Wohlstands.
8,hinweisen auf (+Akk),İşaret etmek / Belirtmek,يشير إلى,اشاره کردن به,Nîşan dan,вказувати на,to point out,"Experten weisen immer wieder darauf hin, dass zu viel Zucker die Entstehung von Diabetes fördert."
8,verzehren,Tüketmek / Yemek,يتناول / يستهلك,میل کردن / خوردن,Xwarin,споживати (їжу),to consume / eat,Man sollte Lebensmittel nach Ablauf des Mindesthaltbarkeitsdatums nur nach Prüfung verzehren.
8,verzichten auf (+Akk),...den vazgeçmek,يتخلى عن,چشم‌پوشی کردن,Dest jê berdan,відмовлятися від,to do without,"Immer mehr Menschen versuchen, im Alltag bewusst auf das eigene Auto zu verzichten."
8,jemandem etwas zufügen,Birine (zarar vb.) vermek,يسبب (ضرراً) لشخص,به کسی آسیب زدن,Zirar dan yekî,заподіяти комусь щось,to inflict sth. on s.o.,"Wir sollten alles tun, um der Natur durch unser Handeln keinen weiteren Schaden zufügung."
8,in vollem Gange sein,Tüm hızıyla sürmek,على قدم وساق,در جریان بودن,Di dema herî germ de,бути у розпалі,to be in full swing,Die Vorbereitungen für das große Erntedankfest auf dem Marktplatz sind bereits in vollem Gange.
8,tabu sein,Tabu olmak,محرم / تابو,تابو بودن,Tabû bûn,бути табу,to be taboo,"In vielen Kulturen ist es tabu, bestimmte Tierarten zu essen oder religiöse Symbole zu verspotten."
8,ethisch,Etik / Ahlaki,أخلاقي,اخلاقی,Etîk,етичний,ethical,Die ethische Vertretbarkeit von Tierversuchen in der Kosmetikindustrie wird weltweit stark diskutiert.
8,genussorientiert,Zevk odaklı,باحث عن المتعة,لذت‌جرا,Keyfhez,орієнтований на задоволення,pleasure-oriented,"Trotz seines gesunden Lebensstils ist er ein genussorientierter Mensch, der gerne gut essen geht."
8,vegetarisch,Vejetaryen,نباتي,گیاهی,Vejeteryan,вегетаріанський,vegetarian,In unserer Kantine gibt es täglich mindestens zwei verschiedene vegetarische Gerichte zur Auswahl.
8,laut (+Dat),...e göre,حسب / وفقاً لـ,طبقِ,Li gorî,згідно з,according to,Laut einer aktuellen Studie reduziert eine pflanzliche Ernährung das Risiko für Herzkrankheiten.
8,zufolge (+Dat),...e dayanarak / göre,تبعاً لـ,بر اساسِ,Li gora,внаслідок / за словами,according to,Den neuesten Prognosen zufolge wird der Preis für Bio-Lebensmittel in Zukunft weiter sinken.
8,schlemmen,Lezzetli şeyler yemek,يتلذذ بالأكل,خوش‌گذرانی با غذا,Xwarina bi keyf,ласувати / бенкетувати,to feast,"Am Wochenende lieben sie es, in ihrem Lieblingsrestaurant ausgiebig und ohne Reue zu schlemmen."
8,würzen,Baharat katmak,يتبل,چاشنی زدن,Tehm danê,приправляти,to season,"Mit frischen Kräutern aus dem Garten lassen sich Speisen wunderbar würzen, ohne viel Salz zu nutzen."
8,zubereiten,Hazırlamak (yemek),يحضر (طعاماً),آماده کردن غذا,Amade kirin,готувати (страву),to prepare,"Er liebt es, am Abend für seine Freunde ein aufwendiges Drei-Gänge-Menü frisch zuzubereiten."
8,aromatisch,Aromatik / Hoş kokulu,عطري / فواح,معطر,Bîhnxweş,ароматний,aromatic,Der frisch gebrühte Kaffee verbreitete einen herrlich aromatischen Duft in der ganzen Wohnung.
8,exotisch,Egzotik,غريب / استوائي,عجیب و غریب,Egzotîk,екзотичний,exotic,"Auf dem Markt wurden viele exotische Früchte angeboten, die ich vorher noch nie gesehen hatte."
8,genussvoll,Zevkli / Keyifli,ممتع,لذت‌بخش,Bi keyf,приємний / повний насолоди,pleasurable,Er biss genussvoll in den reifen Apfel und genoss die kurze Pause während der Wanderung.
8,lecker,Lezzetli,لذيذ,خوشمزه,Bi tehm,смачний,delicious,"Das selbstgebackene Brot riecht nicht nur fantastisch, sondern schmeckt auch unglaublich lecker."
8,molekular,Moleküler,جزيئي,مولکولی,Molekuler,молекулярний,molecular,"In der molekularen Küche werden physikalische Prozesse genutzt, um ganz neue Texturen zu schaffen."
8,relativ,Göceli / Nispeten,نسبي,نسبی,Nisbî,відносний,relative,Im Vergleich zum Vorjahr sind die Preise für Obst und Gemüse in diesem Sommer relativ stabil.
8,"der Anlass, -¨e",Vesile / Sebep,مناسبة / سبب,مناسبت / دلیل,Sedem,привід / подія,occasion,"Das Jubiläum der Firma war ein willkommener Anlass, um alle Mitarbeiter zu einem Fest einzuladen."
8,der Puderzucker,Pudra şekeri,سكر بودرة,پودر قند,Şekirê hûr,цукрова пудра,powdered sugar,Zum Schluss bestäubte sie den frisch gebackenen Kuchen noch mit einer feinen Schicht Puderzucker.
8,"die Zutat, -en",Malzeme (yemek),مكونات,مواد لازم,Melzeme,інгредієнт,ingredient,Frische Zutaten aus der Region sind die wichtigste Basis für eine qualitativ hochwertige Küche.
8,schälen,Soymak (kabuk),يقشر,پوست کندن,Qalik kirin,чистити (шкірку),to peel,Vor dem Kochen muss man die Kartoffeln gründlich schälen und unter kaltem Wasser abwaschen.
8,reihum,Sırayla / Dönüşümlü,بالدور,به نوبت,Bi dor,по черзі,in turn,Während der Besprechung durfte jeder Teilnehmer reihum seine Meinung zum Projekt äußern.
8,"der Bestandteil, -e",Bileşen / Parça,جزء / مكون,جزء / عنصر تشکیل‌دهنده,Parçe,складова частина,component,Eine ausreichende Flüssigkeitszufuhr ist ein wesentlicher Bestandteil einer gesunden Lebensführung.
8,"der Busch, -¨e",Çalı,شجيرة,بوته,Devî,кущ,bush,Hinter dem dichten Busch im Garten haben sich die Kinder beim Versteckspielen verborgen.
8,das Gemüse (Sg.),Sebze,خضروات,سبزیجات,Zebeş / Şinahî,овочі,vegetables,"Man sollte täglich mehrere Portionen frisches Gemüse essen, um den Körper optimal zu versorgen."
8,"die Gemüsesorte, -n",Sebze çeşidi,نوع من الخضار,نوع سبزیجات,Cûreyê şinahiyê,сорт овочів,vegetable variety,"Es gibt viele alte Gemüsesorten, die heutzutage leider immer seltener in Supermärkten zu finden sind."
8,"die Kammer, -n",Oda / Kiler,غرفة صغيرة / مخزن,اتاقک / انبار,Ode,камера / комора,chamber / pantry,"In der kühlen Kammer im Keller lagern wir unsere Vorräte an Kartoffeln, Äpfeln und Zwiebeln."
8,"das Kohlenhydrat, -e",Karbonhidrat,كربوهيدرات,کربوهیدرات,Karbohîdrat,вуглевод,carbohydrate,"Ausdauersportler benötigen viele Kohlenhydrate, um während des Trainings genug Energie zu haben."
